,time,x,y,z
337,0.08425,-600.16698,53.997866,-36.284605
338,0.0845,-617.81895,73.611166,-11.76798
339,0.08475,-600.16698,57.920526,-4.903325
340,0.085,-597.224985,65.765846,10.787315
341,0.08525,-603.108975,78.514491,-6.864655
342,0.0855,-570.74703,39.287891,12.748645
343,0.08575,-606.05097,17.713261,-6.864655
344,0.086,-570.74703,44.191216,-17.65197
345,0.08625,-548.191735,48.113876,-27.45862
346,0.0865,-561.921045,41.249221,-28.439285
347,0.08675,-522.694445,99.108456,-23.53596
348,0.087,-492.29383,83.417816,-0.980665
349,0.08725,-483.467845,52.036536,9.80665
350,0.0875,-423.64728,68.707841,35.30394
351,0.08775,-422.666615,14.771266,42.168595
352,0.088,-405.99531,-5.822698,37.26527
353,0.08825,-381.478685,22.616586,24.516625
354,0.0885,-354.020065,3.003286,18.632635
355,0.08875,-356.96206,37.326561,-14.709975
356,0.089,-337.34876,37.326561,-13.72931
357,0.08925,-309.89014,51.055871,-61.781895
358,0.0895,-274.5862,40.268556,-58.8399
359,0.08975,-234.378935,25.558581,-55.897905
360,0.09,-225.55295,22.616586,-28.439285
361,0.09025,-200.05566,-23.474668,-4.903325
362,0.0905,-173.577705,-20.532673,24.516625
363,0.09075,-116.699135,-20.532673,44.129925
364,0.091,-79.433865,-28.377993,50.013915
365,0.09125,-43.14926,7.906611,31.38128
366,0.0915,37.26527,9.867941,-25.49729
367,0.09175,60.80123,30.461906,-59.820565
368,0.092,93.163175,21.635921,-71.588545
369,0.09225,122.583125,30.461906,-60.80123
370,0.0925,161.809725,-28.377993,-24.516625
371,0.09275,205.93965,-48.971958,15.69064
372,0.093,272.62487,-64.662598,53.936575
373,0.09325,328.522775,-71.527253,54.91724
374,0.0935,331.46477,-85.256563,71.588545
375,0.09375,331.46477,-50.933288,39.2266
376,0.094,368.73004,-19.552008,0.980665
377,0.09425,423.64728,-35.242648,-45.11059
378,0.0945,455.02856,-32.300653,-38.245935
379,0.09475,454.047895,-43.087968,-8.825985
380,0.095,450.125235,-37.203978,28.439285
381,0.09525,508.965135,-76.430578,38.245935
382,0.0955,542.307745,-78.391908,68.64655
383,0.09575,589.379665,-56.817278,69.627215
384,0.096,600.16698,-47.991293,47.07192
385,0.09625,579.573015,-49.952623,-8.825985
386,0.0965,608.992965,-51.913953,7.84532
387,0.09675,608.992965,-43.087968,1.9613300000000002
388,0.097,601.147645,-25.435998,-33.34261
389,0.09725,629.58693,-77.411243,-6.864655
390,0.0975,596.24432,-64.662598,-50.99458
391,0.09775,621.74161,-71.527253,-26.477955
392,0.098,623.70294,-68.585258,76.49187
393,0.09825,676.65885,-55.836613,26.477955
394,0.0985,704.11747,-28.377993,21.57463
395,0.09875,605.070305,-51.913953,44.129925
396,0.099,608.992965,-70.546588,25.49729
397,0.09925,589.379665,-48.971958,7.84532
398,0.0995,638.412915,-60.739938,10.787315
399,0.09975,654.103555,-63.681933,-3.92266
400,0.1,577.611685,-49.952623,6.864655
401,0.10025,527.59777,-45.049298,12.748645
402,0.1005,473.661195,-49.952623,-19.6133
403,0.10075,535.44309,-29.358658,-30.400615
404,0.101,589.379665,-5.822698,-43.14926
405,0.10125,525.63644,-32.300653,-0.980665
406,0.1015,405.014645,-68.585258,18.632635
407,0.10175,333.4261,-60.739938,48.052585
408,0.102,305.96748,-47.010628,-1.9613300000000002
409,0.10225,404.03398,-13.668018,16.671305
410,0.1025,324.600115,-20.532673,-3.92266
411,0.10275,307.92881,12.809936,-9.80665
412,0.103,153.964405,-47.991293,-20.593965
413,0.10325,119.64113,-47.010628,0.980665
414,0.1035,148.080415,-14.648683,16.671305
415,0.10375,59.820565,-46.029963,21.57463
416,0.104,84.33719,-13.668018,39.2266
417,0.10425,-21.57463,9.867941,-9.80665
418,0.1045,-26.477955,-8.764693,26.477955
419,0.10475,-95.124505,13.790601,10.787315
420,0.105,-109.83448,34.384566,-6.864655
421,0.10525,-145.13842,0.061291,-32.361945
422,0.1055,-204.958985,-6.803363,-15.69064
423,0.10575,-216.726965,28.500576,-15.69064
424,0.106,-256.93423,8.887276,4.903325
425,0.10625,-265.760215,17.713261,21.57463
426,0.1065,-298.12216,38.307226,-8.825985
427,0.10675,-337.34876,34.384566,1.9613300000000002
428,0.107,-357.942725,36.345896,-9.80665
429,0.10725,-350.097405,47.133211,-35.30394
430,0.1075,-347.15541,32.423236,5.88399
431,0.10775,-424.627945,22.616586,19.6133
432,0.108,-418.743955,21.635921,20.593965
433,0.10825,-450.125235,41.249221,12.748645
434,0.1085,-448.163905,46.152546,18.632635
435,0.10875,-434.434595,79.495156,2.941995
436,0.109,-484.44851,48.113876,-5.88399
437,0.10925,-472.68053,24.577916,-37.26527
438,0.1095,-538.385085,22.616586,-45.11059
439,0.10975,-572.70836,6.925946,-43.14926
440,0.11,-554.075725,77.533826,-27.45862
441,0.11025,-563.882375,78.514491,-11.76798
442,0.1105,-534.462425,88.321141,9.80665
443,0.11075,-550.153065,76.553161,22.555295
444,0.111,-549.1724,63.804516,-4.903325
445,0.11125,-552.114395,67.727176,-17.65197
446,0.1115,-551.13373,38.307226,-41.18793
447,0.11175,-574.66969,35.365231,-50.013915
448,0.112,-578.59235,53.017201,-36.284605
449,0.11225,-613.89629,62.823851,-27.45862
450,0.1125,-557.998385,75.572496,-5.88399
451,0.11275,-543.28841,77.533826,7.84532
452,0.113,-543.28841,51.055871,-5.88399
453,0.11325,-506.02314,67.727176,6.864655
454,0.1135,-514.849125,44.191216,-8.825985
455,0.11375,-446.202575,60.862521,-7.84532
456,0.114,-480.52585,43.210551,6.864655
457,0.11425,-445.22191,23.597251,15.69064
458,0.1145,-468.75787,34.384566,-7.84532
459,0.11475,-414.821295,17.713261,11.76798
460,0.115,-376.57536,36.345896,-8.825985
461,0.11525,-372.6527,29.481241,-3.92266
462,0.1155,-342.252085,18.693926,-15.69064
463,0.11575,-347.15541,17.713261,-29.41995
464,0.116,-309.89014,31.442571,-22.555295
465,0.11625,-275.566865,13.790601,-1.9613300000000002
466,0.1165,-245.16625,40.268556,-11.76798
467,0.11675,-190.24901,4.9646159999999995,0.980665
468,0.117,-172.59704,5.945281,7.84532
469,0.11725,-170.63571,-5.822698,9.80665
470,0.1175,-133.37044,3.9839510000000002,10.787315
